LastTimeStamp DailyHeatingEnergyConsumed DailyHeatingEnergyProduced DailyHotWaterEnergyConsumed DailyHotWaterEnergyProduced
04-19 9.29 16.41 2.21 3.37
04-20 0.5 0.0 0.0 0.0
04-21 7.03 11.65 0.0 0.0
04-22 9.17 13.85 0.0 0.0
04-23 0.48 0.0 0.0 0.0
04-24 3.64 6.15 0.0 0.0
04-25 0.47 0.0 0.0 0.0
04-26 0.41 0.04 0.0 0.0
04-27 0.49 0.0 0.0 0.0
04-28 0.49 0.0 0.0 0.0
04-29 6.63 21.55 0.84 1.45
04-30 2.83 7.6 3.58 5.32
05-01 9.53 29.51 1.21 1.8
05-02 0.38 0.0 1.3 1.6400000000000001
05-03 3.26 9.2 0.0 0.0
05-04 0.44 0.0 1.1 1.69
05-05 0.45 0.0 1.32 2.0
05-06 0.45 0.0 0.0 0.0
